ID,City,District,Neighborhood,İlan no,Son Güncelleme Tarihi,Oda + Salon Sayısı,Brüt / Net ,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Kat Sayısı,Eşya Durumu,Banyo Sayısı,Yapı Tipi,Yapının Durumu,Kullanım Durumu,Aidat,Cephe,Depozito,Yakıt Tipi,Yetkili Ofis,Rent,Site İçerisinde,Krediye Uygunluk,Tapu Durumu,Takas,Kira Getirisi
444,Ankara,Altındağ,Hacettepe,8168-2516,04-04-2023,4,115,3,20,Kombi,4,Eşyalı Değil,1,Betonarme,İkinci El,Boş,100,"Güney, Batı","10,000",Doğalgaz,,"10,000",,,,,
445,Ankara,Yenimahalle,Yunus Emre,56045-5504,11-04-2023,4,120,2,22,Kombi,3,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,"Kuzey, Doğu",,Doğalgaz,Evet,"11,900",,,,,
446,Ankara,Çankaya,Cebeci,58275-1045,10-04-2023,2,55,1,1,Kombi,4,Eşyalı,1,Betonarme,İkinci El,Boş,300,Doğu,"10,750",Doğalgaz,Evet,"10,750",,,,,
447,Ankara,Çankaya,100. Yıl,1135-1403,10-04-2023,5,200,1,39,Merkezi,3,Eşyalı Değil,2,,,Boş,"2,000",,"60,000",Doğalgaz,Evet,"20,000",,,,,
448,Ankara,Etimesgut,Turkuaz,10144-6597,11-04-2023,3,95,En Üst Kat,8,Merkezi (Pay Ölçer),12,Eşyalı Değil,1,Betonarme,İkinci El,Boş,400,"Güney, Batı","9,000",Doğalgaz,Evet,"5,250",,,,,
449,Ankara,Etimesgut,Yeşilova,42144-6876,10-04-2023,4,129,8,2,Kombi,10,Eşyalı Değil,2,Betonarme,İkinci El,Kiracılı,600,Doğu,"10,500",Doğalgaz,Evet,"10,500",,,,,
450,Ankara,Çankaya,Balgat,2646-1031,11-04-2023,4,110,1,25,Kombi,4,Eşyalı,2,Betonarme,İkinci El,Boş,100,,"20,000",Doğalgaz,Evet,"12,000",,,,,
451,Ankara,Etimesgut,Şehit Osman Avcı,83411-1753,08-04-2023,2,60,2,7,Merkezi (Pay Ölçer),14,Eşyalı,1,Betonarme,İkinci El,Boş,515,Güney,"8,750",Doğalgaz,Evet,"8,750",Relax Eryaman Konutları,,,,
452,Ankara,Etimesgut,Eryaman,34705-849,09-04-2023,4,140,14,7,Merkezi (Pay Ölçer),15,Eşyalı Değil,2,Betonarme,İkinci El,Kiracılı,967,Güney,"15,000",Doğalgaz,Evet,"15,000",,,,,
453,Ankara,Çankaya,Çankaya,10601-1855,05-04-2023,4,125,2,37,Merkezi,12,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,"1,500","Güney, Doğu, Batı","11,000",Doğalgaz,Evet,"11,000",,,,,
454,Ankara,Altındağ,Hacettepe,81348-627,10-04-2023,4,105,2,30,Kombi,6,Eşyalı Değil,1,Betonarme,İkinci El,Boş,100,"Kuzey, Doğu, Batı","6,000",Doğalgaz,Evet,"6,000",,,,,
455,Ankara,Mamak,Hüseyingazi,40243-10149,11-04-2023,4,110,2,15,Kombi,2,Eşyalı,1,Betonarme,İkinci El,Boş,,Batı,,Doğalgaz,Evet,"8,250",,,,,
456,Ankara,Çankaya,Oran,47587-449,09-04-2023,4,160,11,20,Merkezi,15,Eşyalı,2,Betonarme,İkinci El,Boş,"1,500",,"15,000",Doğalgaz,Evet,"12,500",,,,,
457,Ankara,Yenimahalle,Demetgül,10214-2621,10-04-2023,4,120,9,35,Kombi,9,Eşyalı Değil,1,Betonarme,İkinci El,,,"Güney, Doğu",,Doğalgaz,,"6,500",,,,,
458,Ankara,Keçiören,Kanuni,55822-3964,10-04-2023,4,135,1,9,Kombi,3,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,"Güney, Doğu","6,500",Doğalgaz,Evet,"6,500",,,,,
459,Ankara,Çankaya,Aziziye,28547-3325,05-04-2023,3,105,Kot 2,45,Merkezi,5,Eşyalı,1,Betonarme,İkinci El,Boş,"1,190","Kuzey, Batı","10,000",Doğalgaz,Evet,"8,500",,,,,
460,Ankara,Çankaya,Cevizlidere,6493-2789,06-04-2023,4,145,2,19,Kombi,4,Eşyalı Değil,2,Betonarme,İkinci El,Boş,150,"Güney, Batı","13,000",Doğalgaz,Evet,"13,000",,,,,
461,Ankara,Polatlı,Kurtuluş,99290-718,06-04-2023,4,120,En Üst Kat,25,Kombi,4,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,"Kuzey, Güney, Batı","2,500",Doğalgaz,Evet,"3,000",,,,,
462,Ankara,Çankaya,Güvenevler,4367-5727,09-04-2023,4,125,Yüksek Giriş,35,Merkezi,4,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,"1,600",Güney,"10,000",Doğalgaz,Evet,"10,000",,,,,
