,City,District,Neighborhood,İlan no,Son Güncelleme Tarihi,Oda + Salon Sayısı,Brüt / Net M2,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Kat Sayısı,Krediye Uygunluk,Eşya Durumu,Banyo Sayısı,Yapı Tipi,Yapının Durumu,Kullanım Durumu,Aidat,Cephe,Yakıt Tipi,Yetkili Ofis,Rent,Tapu Durumu,Takas,Kira Getirisi,Site İçerisinde
8923,Ankara,Etimesgut,Alsancak,113804-721,12-04-2023,3 + 1,132 m2,1. Kat,15 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,,Doğalgaz,Evet,1.280.000 TL,Kat Mülkiyeti,Evet,8.000 TL,
8924,Ankara,Mamak,Türközü,58275-1066,12-04-2023,3 + 1,125 m2,3. Kat,5 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,,,Boş,,"Güney, Doğu, Batı",,,2.090.000 TL,Kat Mülkiyeti,Evet,,
8925,Ankara,Çankaya,Bayraktar,39863-2629,20-03-2023,3 + 1,115 m2,1. Kat,30 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,100 TL,Güney,Doğalgaz,Evet,1.450.000 TL,Kat Mülkiyeti,Hayır,8.000 TL,
8926,Ankara,Çankaya,Harbiye,131128-355,08-04-2023,3 + 1,100 m2,Bahçe Katı,26 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,,,Kiracılı,,"Güney, Batı",,,1.375.000 TL,Kat Mülkiyeti,Hayır,,
8927,Ankara,Yenimahalle,Varlık,0-40513570,26-03-2023,5 + 1,300 m2,Teras Katı,20 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Mülk Sahibi,100 TL,Batı,Doğalgaz,,6.000.000 TL,Kat Mülkiyeti,Hayır,15.000 TL,
8928,Ankara,Çankaya,Umut,121565-117,06-04-2023,4 + 1,200 m2,4. Kat,1 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,100 TL,Doğu,Doğalgaz,Evet,4.400.000 TL,Kat İrtifakı,Hayır,15.000 TL,
8929,Ankara,Sincan,Pınarbaşı,85725-1909,30-03-2023,3 + 1,130 m2,3. Kat,8 Yaşında,Kombi,3 Katlı,Uygun,,1,,,Kiracılı,,"Güney, Doğu",Doğalgaz,,1.579.000 TL,Kat Mülkiyeti,Hayır,,
8930,Ankara,Yenimahalle,Batı Sitesi,87926-802,01-04-2023,3 + 1,110 m2,8. Kat,21 Yaşında,Merkezi,9 Katlı,Uygun,Eşyalı Değil,1,,,Boş,,"Kuzey, Güney",,,1.690.000 TL,Kat Mülkiyeti,Hayır,,
8931,Ankara,Çankaya,Mustafa Kemal,43940-2200,28-03-2023,4 + 1,210 m2,Yüksek Giriş,8 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,3,Betonarme,İkinci El,Mülk Sahibi,350 TL,"Güney, Batı",Doğalgaz,Evet,3.850.000 TL,Kat Mülkiyeti,Hayır,12.000 TL,
8932,Ankara,Çankaya,Yukarı Bahçelievler,6792-3987,04-04-2023,6 + 1,220 m2,En Üst Kat,23 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,3,Betonarme,İkinci El,Kiracılı,750 TL,"Güney, Doğu",Doğalgaz,Evet,5.350.000 TL,Kat Mülkiyeti,Hayır,8.000 TL,
8933,Ankara,Çankaya,Birlik,39108-7164,10-04-2023,3 + 1,145 m2,Yüksek Giriş,25 Yaşında,Kombi,2 Katlı,Uygun,,1,Betonarme,İkinci El,Kiracılı,150 TL,"Kuzey, Doğu, Batı",Doğalgaz,Evet,2.500.000 TL,Kat Mülkiyeti,Hayır,8.000 TL,
8934,Ankara,Çankaya,İlkadım,13344-1178,15-03-2023,2 + 1,140 m2,Kot 2,31 Yaşında,Kombi,8 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Mülk Sahibi,100 TL,"Kuzey, Doğu",Doğalgaz,Evet,1.970.000 TL,Kat Mülkiyeti,Hayır,,
8935,Ankara,Çankaya,Topraklık,1623-2360,18-03-2023,4 + 1,160 m2,Kot 1,30 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,Doğu,Doğalgaz,Evet,1.600.000 TL,Kat Mülkiyeti,,5.000 TL,
8936,Ankara,Çankaya,Küçükesat,14488-2975,31-03-2023,2 + 1,120 m2,2. Kat,39 Yaşında,Merkezi,5 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,1.100 TL,"Güney, Batı",Doğalgaz,Evet,2.150.000 TL,Kat Mülkiyeti,Hayır,6.000 TL,
8937,Ankara,Keçiören,Tepebaşı,88626-1023,16-03-2023,3 + 1,145 m2,Giriş Katı,18 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,,,,Doğalgaz,Evet,1.300.000 TL,,Evet,,
8938,Ankara,Çankaya,Huzur,5338-7354,13-04-2023,3 + 1,130 m2,3. Kat,16 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,100 TL,"Güney, Doğu",Doğalgaz,Evet,2.250.000 TL,Kat İrtifakı,Hayır,5.000 TL,
8939,Ankara,Keçiören,Güçlükaya,109062-824,06-04-2023,3 + 1,120 m2,1. Kat,19 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,100 TL,Güney,Doğalgaz,Evet,1.450.000 TL,Kat Mülkiyeti,,7.000 TL,
8940,Ankara,Polatlı,Şehitlik,4960-883,11-04-2023,4 + 1,220 m2,11. Kat,Sıfır Bina,Kombi,11 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,,"Güney, Doğu, Batı",Doğalgaz,,2.450.000 TL,Kat İrtifakı,Evet,6.000 TL,
8941,Ankara,Etimesgut,Devlet,1475-3448,22-03-2023,3 + 1,123 m2,Yüksek Giriş,22 Yaşında,Kombi,13 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,330 TL,"Güney, Doğu",Doğalgaz,Evet,1.730.000 TL,Kat Mülkiyeti,Hayır,8.000 TL,
8942,Ankara,Etimesgut,Atayurt,97895-1372,23-03-2023,3 + 1,137 m2,Giriş Katı,10 Yaşında,Merkezi (Pay Ölçer),7 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,410 TL,Güney,Doğalgaz,Evet,1.450.000 TL,Kat Mülkiyeti,Hayır,,
8943,Ankara,Çankaya,Bağcılar,23233-1973,04-04-2023,4 + 1,170 m2,2. Kat,15 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Kiracılı,100 TL,Güney,Doğalgaz,Evet,2.500.000 TL,Kat Mülkiyeti,Hayır,7.500 TL,
8944,Ankara,Çankaya,Fakülteler,2250-2941,02-04-2023,4 + 1,210 m2,4. Kat,Sıfır Bina,Kombi,4 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,,"Güney, Batı",Doğalgaz,Evet,4.150.000 TL,,Evet,10.000 TL,
8945,Ankara,Çankaya,Sokullu Mehmet Paşa,4380-11410,13-04-2023,6 + 1,300 m2,3. Kat,25 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,3,Betonarme,İkinci El,Mülk Sahibi,,"Kuzey, Batı",Doğalgaz,Evet,4.630.000 TL,Kat Mülkiyeti,Hayır,15.000 TL,
