,City,District,Neighborhood,İlan no,Son Güncelleme Tarihi,Oda + Salon Sayısı,Brüt / Net M2,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Kat Sayısı,Krediye Uygunluk,Eşya Durumu,Banyo Sayısı,Kullanım Durumu,Takas,Cephe,Rent,Tapu Durumu,Yapı Tipi,Yapının Durumu,Aidat,Kira Getirisi,Yakıt Tipi,Yetkili Ofis,Site İçerisinde
440,Ankara,Keçiören,Kuşcağız,130688-97,13-04-2023,2 + 1,95 m2,Giriş Katı,16 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Boş,Hayır,"Güney, Batı",889.000 TL,Kat Mülkiyeti,,,,,,,
441,Ankara,Mamak,Ekin,133292-184,13-04-2023,3 + 1,110 m2,Yüksek Giriş,6 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Kiracılı,Evet,Güney,775.000 TL,Kat Mülkiyeti,Betonarme,İkinci El,20 TL,3.000 TL,Doğalgaz,Evet,
442,Ankara,Çankaya,Aziziye,22114-2437,13-04-2023,3 + 1,145 m2,3. Kat,30 Yaşında,Merkezi,3 Katlı,Uygun,Eşyalı Değil,1,Boş,Hayır,"Güney, Batı",3.475.000 TL,Kat Mülkiyeti,Betonarme,İkinci El,1.500 TL,12.000 TL,Doğalgaz,Evet,
443,Ankara,Pursaklar,Yunus Emre,73018-4754,13-04-2023,3 + 1,125 m2,3. Kat,8 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Mülk Sahibi,Hayır,"Kuzey, Doğu",1.439.000 TL,Kat Mülkiyeti,Betonarme,İkinci El,,,Doğalgaz,Evet,
444,Ankara,Keçiören,Aşağı Eğlence,131239-297,13-04-2023,3 + 1,145 m2,2. Kat,17 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,2,Boş,Evet,"Kuzey, Güney, Doğu, Batı",2.789.000 TL,Kat Mülkiyeti,Betonarme,Sıfır,100 TL,15.000 TL,Doğalgaz,Evet,
445,Ankara,Etimesgut,Bağlıca,129251-252,13-04-2023,4 + 1,185 m2,2. Kat,7 Yaşında,Merkezi (Pay Ölçer),11 Katlı,Uygun,Eşyalı Değil,2,Mülk Sahibi,Hayır,"Güney, Doğu",4.050.000 TL,Kat Mülkiyeti,Betonarme,İkinci El,,15.000 TL,Doğalgaz,,
446,Ankara,Keçiören,Aşağı Eğlence,121003-2263,13-04-2023,2 + 1,110 m2,2. Kat,30 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Boş,Evet,"Güney, Batı",1.489.000 TL,Kat Mülkiyeti,Betonarme,,100 TL,7.500 TL,Doğalgaz,Evet,
447,Ankara,Sincan,Malazgirt,99289-1399,13-04-2023,2 + 1,100 m2,Yüksek Giriş,20 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Kiracılı,Hayır,"Güney, Doğu",698.000 TL,Kat Mülkiyeti,Betonarme,İkinci El,30 TL,4.000 TL,Doğalgaz,Evet,
448,Ankara,Etimesgut,Süvari,136890-16,13-04-2023,3 + 1,140 m2,1. Kat,7 Yaşında,Kombi,5 Katlı,Uygun,Eşyalı Değil,1,Mülk Sahibi,Evet,Güney,1.750.000 TL,Kat Mülkiyeti,Betonarme,İkinci El,50 TL,8.000 TL,Doğalgaz,Evet,
449,Ankara,Keçiören,Bağlarbaşı,40304-306,13-04-2023,3 + 1,130 m2,1. Kat,25 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Kiracılı,Hayır,"Güney, Doğu, Batı",1.380.000 TL,Kat İrtifakı,Betonarme,İkinci El,50 TL,5.000 TL,Doğalgaz,Evet,
450,Ankara,Çankaya,Bahçelievler,2644-3787,13-04-2023,4 + 1,200 m2,4. Kat,Sıfır Bina,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Boş,Hayır,"Kuzey, Doğu",6.000.000 TL,Kat İrtifakı,Betonarme,Sıfır,200 TL,18.000 TL,Doğalgaz,,
451,Ankara,Sincan,Mustafa Kemal,133512-336,13-04-2023,4 + 1,165 m2,Ara Kat,Sıfır Bina,Kombi,4 Katlı,Uygun değil,Eşyalı Değil,2,Boş,Hayır,"Güney, Batı",1.940.000 TL,Kat Mülkiyeti,Betonarme,Sıfır,100 TL,6.000 TL,Doğalgaz,Evet,
452,Ankara,Kahramankazan,Fatih,12890-5631,13-04-2023,3 + 1,250 m2,,1 Yaşında,Isıtma Yok,2 Katlı,Uygun,Eşyalı Değil,2,Mülk Sahibi,Hayır,"Kuzey, Güney, Doğu, Batı",5.500.000 TL,Kat Mülkiyeti,Çelik,İkinci El,,20.000 TL,Doğalgaz,Evet,
453,Ankara,Etimesgut,Piyade,133183-24,13-04-2023,3 + 1,150 m2,2. Kat,10 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Mülk Sahibi,Hayır,"Doğu, Batı",1.450.000 TL,Kat Mülkiyeti,Betonarme,İkinci El,50 TL,7.500 TL,Doğalgaz,Evet,
454,Ankara,Mamak,Dostlar,128870-343,13-04-2023,3 + 1,140 m2,3. Kat,3 Yaşında,Kombi,15 Katlı,Uygun,Eşyalı Değil,2,Mülk Sahibi,Hayır,"Güney, Doğu",1.200.000 TL,Kat Mülkiyeti,Betonarme,İkinci El,,,Doğalgaz,Evet,
455,Ankara,Pursaklar,Merkez,20040-90,13-04-2023,3 + 1,130 m2,3. Kat,18 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Mülk Sahibi,Hayır,Güney,1.279.000 TL,Kat Mülkiyeti,Betonarme,İkinci El,,,Doğalgaz,Evet,
456,Ankara,Çankaya,Maltepe,7655-1456,13-04-2023,3 + 1,130 m2,3. Kat,Sıfır Bina,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Boş,Hayır,Batı,4.350.000 TL,,Betonarme,Sıfır,150 TL,14.000 TL,Doğalgaz,Evet,
457,Ankara,Çankaya,Aşağı Öveçler,8053-2566,13-04-2023,3 + 1,154 m2,4. Kat,18 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Kiracılı,Hayır,"Güney, Batı",2.550.000 TL,Kat Mülkiyeti,Betonarme,İkinci El,150 TL,2.480 TL,Doğalgaz,Evet,
458,Ankara,Gölbaşı,Şafak,137266-2,13-04-2023,2 + 1,120 m2,Kot 1,15 Yaşında,Kombi,6 Katlı,Uygun,Eşyalı Değil,1,Kiracılı,Hayır,"Kuzey, Doğu, Batı",1.075.000 TL,Kat Mülkiyeti,Betonarme,İkinci El,50 TL,6.000 TL,Doğalgaz,Evet,
459,Ankara,Gölbaşı,İncek,42956-2136,13-04-2023,2 + 1,90 m2,1. Kat,Sıfır Bina,Yerden Isıtma,4 Katlı,Uygun,Eşyalı Değil,2,Boş,Hayır,"Kuzey, Güney, Doğu, Batı",2.250.000 TL,Kat Mülkiyeti,Betonarme,Sıfır,,7.500 TL,Doğalgaz,,
