,City,District,Neighborhood,İlan no,Son Güncelleme Tarihi,Oda + Salon Sayısı,Brüt / Net M2,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Kat Sayısı,Eşya Durumu,Banyo Sayısı,Yapı Tipi,Yapının Durumu,Kullanım Durumu,Aidat,Cephe,Depozito,Yakıt Tipi,Yetkili Ofis,Rent,Site İçerisinde,Krediye Uygunluk,Tapu Durumu,Takas,Kira Getirisi
1238,Ankara,Mamak,Zirvekent,41594-2034,10-04-2023,2 + 1,90 m2,1. Kat,7 Yaşında,Kombi,12 Katlı,Eşyalı,1,Betonarme,,Boş,,,,Doğalgaz,Evet,6.500 TL,,,,,
1239,Ankara,Çankaya,Yukarı Dikmen,4129-1904,11-04-2023,6 + 1,600 m2,,15 Yaşında,Kombi,2 Katlı,Eşyalı Değil,4,Betonarme,İkinci El,Boş,2.200 TL,,100.000 TL,Doğalgaz,Evet,90.000 TL,,,,,
1240,Ankara,Çankaya,İşçi Blokları,7388-2639,10-04-2023,2 + 1,95 m2,3. Kat,35 Yaşında,Kombi,13 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,100 TL,Doğu,10.000 TL,Doğalgaz,Evet,10.000 TL,,,,,
1241,Ankara,Çankaya,Yukarı Bahçelievler,0-40596806,10-04-2023,2 + 1,90 m2,2. Kat,20 Yaşında,Kombi,4 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,200 TL,Güney,13.000 TL,Doğalgaz,,9.000 TL,,,,,
1242,Ankara,Yenimahalle,İnönü,7000-4081,05-04-2023,3 + 1,120 m2,4. Kat,30 Yaşında,Merkezi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,1.000 TL,"Doğu, Batı",8.000 TL,Doğalgaz,,8.000 TL,,,,,
1243,Ankara,Keçiören,Şenlik,86676-1575,28-03-2023,3 + 1,120 m2,2. Kat,30 Yaşında,Kombi,3 Katlı,Eşyalı,1,,İkinci El,Boş,50 TL,Doğu,10.000 TL,Doğalgaz,Evet,10.000 TL,,,,,
1244,Ankara,Çankaya,Balgat,2646-1036,11-04-2023,3 + 1,150 m2,3. Kat,23 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Mülk Sahibi,80 TL,,14.800 TL,Doğalgaz,Evet,14.800 TL,,,,,
1245,Ankara,Çankaya,Şehit Cevdet Özdemir,42092-3773,08-04-2023,1 + 1,60 m2,Yüksek Giriş,5 Yaşında,Kombi,2 Katlı,Eşyalı,1,,,Boş,800 TL,,8.500 TL,Doğalgaz,Evet,8.500 TL,,,,,
1246,Ankara,Çankaya,Metin Oktay,90726-1195,01-04-2023,3 + 1,120 m2,5. Kat,Sıfır Bina,Kombi,5 Katlı,Eşyalı Değil,2,Betonarme,Sıfır,Boş,100 TL,"Güney, Batı",26.000 TL,Doğalgaz,Evet,12.000 TL,,,,,
1247,Ankara,Çankaya,İlkbahar,134245-18,09-04-2023,2 + 1,90 m2,4. Kat,4 Yaşında,Merkezi (Pay Ölçer),40 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,,30.000 TL,Doğalgaz,Evet,16.000 TL,"Sinpaş Altın Oran Konutları (Ankara, Çankaya, İlkbahar)",,,,
1248,Ankara,Çankaya,Alacaatlı,33815-1991,09-04-2023,2 + 1,90 m2,Giriş Katı,1 Yaşında,Merkezi (Pay Ölçer),17 Katlı,Eşyalı,2,,,Boş,750 TL,,,,,15.500 TL,Relax Yaşamkent,Uygun değil,,,
1249,Ankara,Yenimahalle,Mehmet Akif Ersoy,117017-306,08-04-2023,3 + 1,125 m2,15. Kat,5 Yaşında,Merkezi (Pay Ölçer),15 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,"Kuzey, Güney, Doğu, Batı",,Doğalgaz,Evet,10.000 TL,,,,,
1250,Ankara,Çankaya,Kırkkonaklar,26875-3035,21-03-2023,4 + 1,240 m2,11. Kat,11 Yaşında,Merkezi (Pay Ölçer),16 Katlı,Eşyalı,2,,,Boş,2 TL,"Güney, Doğu",,,,21.000 TL,Park Vadi Evleri,Uygun değil,,,
1251,Ankara,Çankaya,Gaziosmanpaşa,16602-1610,01-04-2023,4 + 1,260 m2,3. Kat,32 Yaşında,Kombi,4 Katlı,Eşyalı Değil,2,,,,2.000 TL,,,,,25.000 TL,,,,,
1252,Ankara,Çankaya,Aziziye,42663-3569,02-04-2023,3 + 1,145 m2,Giriş Katı,35 Yaşında,Merkezi,4 Katlı,Eşyalı,2,Betonarme,İkinci El,Boş,1.100 TL,"Kuzey, Güney, Batı",20.000 TL,Doğalgaz,Evet,16.500 TL,,,,,
