,City,District,Neighborhood,İlan no,Son Güncelleme Tarihi,Oda + Salon Sayısı,Brüt / Net M2,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Kat Sayısı,Krediye Uygunluk,Eşya Durumu,Banyo Sayısı,Yapı Tipi,Yapının Durumu,Tapu Durumu,Site İçerisinde,Yakıt Tipi,Yetkili Ofis,Metro İstasyonu,Durak (Otobüs),Durak (Minibüs),Otogar,Hastane,Acil Servis,Aile Sağlığı Merkezi,Sağlık Kurumları/Diğer,Üniversite,Üniversite Kampüs,İlkokul,Lise,Zincir Marketler,Bakkal/Market,Alışveriş Merkezi,Şarküteri,Rent,Kullanım Durumu,Takas,Kira Getirisi,Aidat,Cephe,Havaalanı,Gar,Poliklinik,Yüksek Okul/Akademi,Ortaokul,Gıda Satış Noktaları,Kapalı Alan M2,Açık Alan M2,Bina Sayısı,Tren İstasyonu/Şehiriçi,Tren İstasyonu/Şehirlerarası,Veteriner,Kreş/Gündüz Bakımevi
151,Ankara,Çankaya,Oran,9080-4583,09-05-2023,3 + 1,140 m2,1. Kat,31 Yaşında,Merkezi,6 Katlı,Uygun,Eşyalı Değil,1,,,Kat Mülkiyeti,Çamlık Sitesi,,,"7,1 km",25 m,891 m,"8,1 km","1,8 km","1,8 km",521 m,"2,2 km","2,7 km","7,1 km",321 m,288 m,310 m,115 m,"1,3 km",425 m,3.650.000 TL,Kiracılı,Hayır,,,Güney,,,,,,,,,,,,,
152,Ankara,Pursaklar,Yunus Emre,5430-1774,05-05-2023,3 + 1,125 m2,7. Kat,8 Yaşında,Kombi,7 Katlı,Uygun,Eşyalı Değil,1,,İkinci El,Kat Mülkiyeti,,,Evet,"3,7 km",45 m,"2,2 km",,"2,2 km",515 m,379 m,872 m,"6,8 km","4,3 km",415 m,211 m,42 m,101 m,"3,9 km",213 m,2.389.000 TL,Boş,Hayır,,,,13 km,,,,,,,,,,,,
153,Ankara,Altındağ,Hacettepe,81348-632,05-05-2023,3 + 1,125 m2,2. Kat,43 Yaşında,Kombi,6 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kat Mülkiyeti,,Doğalgaz,Evet,561 m,213 m,"1,3 km","3,6 km",107 m,299 m,392 m,120 m,"1,7 km",930 m,307 m,875 m,133 m,68 m,"2,4 km",130 m,1.250.000 TL,Kiracılı,Hayır,6.000 TL,100 TL,"Güney, Doğu",,,,,,,,,,,,,
154,Ankara,Keçiören,Etlik,113784-743,05-05-2023,2 + 1,115 m2,Giriş Katı,18 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı,1,Betonarme,,Kat Mülkiyeti,,Doğalgaz,Evet,"2,3 km",79 m,"2,1 km","2,2 km",768 m,768 m,201 m,190 m,1 km,513 m,100 m,279 m,130 m,72 m,1 km,156 m,1.390.000 TL,Boş,Evet,10.000 TL,50 TL,"Güney, Doğu, Batı",,,,,,,,,,,,,
155,Ankara,Etimesgut,Ahi Mesut,135187-85,14-04-2023,3 + 1,160 m2,2. Kat,10 Yaşında,Kombi,9 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Kat Mülkiyeti,,Doğalgaz,Evet,"4,9 km",49 m,"2,5 km","15,6 km","1,9 km","1,9 km",526 m,"1,1 km","4,9 km","7,1 km",204 m,203 m,260 m,382 m,"2,6 km",465 m,3.150.000 TL,Mülk Sahibi,Hayır,6.000 TL,50 TL,"Kuzey, Güney, Batı",,,,,,,,,,,,,
156,Ankara,Keçiören,Yükseltepe,5116-885,05-05-2023,4 + 1,225 m2,14. Kat,4 Yaşında,Merkezi (Pay Ölçer),17 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Kat Mülkiyeti,,Doğalgaz,Evet,"3,9 km",36 m,"1,6 km",,"3,1 km","3,1 km",597 m,"2,6 km",633 m,"3,3 km",515 m,496 m,61 m,132 m,"1,9 km",64 m,5.199.000 TL,Mülk Sahibi,Evet,15.000 TL,500 TL,"Güney, Doğu, Batı","19,7 km",,,,,,,,,,,,
157,Ankara,Çankaya,Sokullu Mehmet Paşa,14072-12558,07-05-2023,3 + 1,125 m2,1. Kat,28 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,,Kat İrtifakı,,Doğalgaz,Evet,"2,8 km",139 m,"1,6 km","3,7 km","1,7 km","1,8 km",406 m,358 m,"1,9 km","4,9 km",135 m,445 m,130 m,40 m,"1,9 km",155 m,2.190.000 TL,Boş,Evet,8.000 TL,75 TL,"Güney, Doğu",,,,,,,,,,,,,
158,Ankara,Çankaya,Öveçler,14072-12510,07-05-2023,5 + 1,250 m2,3. Kat,24 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,3,Betonarme,Sıfır,Kat Mülkiyeti,,Doğalgaz,Evet,"3,2 km",306 m,"1,3 km","3,9 km","1,4 km","1,5 km",107 m,522 m,"2,1 km","5,2 km",323 m,368 m,356 m,76 m,"1,9 km",363 m,3.750.000 TL,Boş,Evet,20.000 TL,120 TL,"Güney, Doğu",,,,,,,,,,,,,
159,Ankara,Mamak,Misket,44716-8360,05-05-2023,2 + 1,100 m2,2. Kat,12 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kat Mülkiyeti,,Doğalgaz,Evet,"3,1 km",64 m,"2,5 km","6,8 km",320 m,319 m,355 m,"1,1 km","4,6 km","3,5 km",96 m,177 m,220 m,111 m,"3,3 km",201 m,1.347.000 TL,Kiracılı,Hayır,7.000 TL,65 TL,Güney,,,,,,,,,,,,,
160,Ankara,Çankaya,Mutlukent,89764-321,05-05-2023,9 + 1,651 m2,,22 Yaşında,Kombi,3 Katlı,Uygun,,4,,,,,,Evet,"1,2 km",126 m,"3,8 km","9,7 km",626 m,618 m,959 m,797 m,"4,4 km","2,6 km",377 m,241 m,234 m,210 m,291 m,558 m,29.500.000 TL,,,,650 TL,,,,,,,,,,,,,,
