,City,District,Neighborhood,İlan no,Son Güncelleme Tarihi,Oda + Salon Sayısı,Brüt / Net M2,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Kat Sayısı,Krediye Uygunluk,Eşya Durumu,Banyo Sayısı,Yapı Tipi,Yapının Durumu,Kullanım Durumu,Tapu Durumu,Aidat,Takas,Cephe,Site İçerisinde,Kira Getirisi,Yakıt Tipi,Rent,Yetkili Ofis,Kapalı Alan M2,Açık Alan M2,Bina Sayısı,Depozito
5689,Ankara,Çankaya,Birlik,9937-2757,23-03-2023,3 + 1,165 m2,2. Kat,25 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Mülk Sahibi,Kat Mülkiyeti,50 TL,Hayır,"Güney, Doğu",,7.000 TL,Doğalgaz,3.250.000 TL,Evet,,,,
5690,Ankara,Mamak,Altıağaç,45607-2339,11-04-2023,3 + 1,115 m2,3. Kat,1 Yaşında,Merkezi (Pay Ölçer),7 Katlı,Uygun değil,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,250 TL,Hayır,"Güney, Doğu",Altıağaç Toki,6.000 TL,Doğalgaz,1.270.000 TL,Evet,,,,
5691,Ankara,Etimesgut,Ayyıldız,136470-66,11-04-2023,3 + 1,180 m2,10. Kat,5 Yaşında,Merkezi (Pay Ölçer),10 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Mülk Sahibi,Kat Mülkiyeti,700 TL,Evet,"Kuzey, Güney, Doğu",,,Doğalgaz,3.150.000 TL,Evet,,,,
5692,Ankara,Çankaya,Yaşamkent,134609-307,10-04-2023,4 + 1,198 m2,5. Kat,2 Yaşında,Merkezi (Pay Ölçer),13 Katlı,Uygun,Eşyalı Değil,2,,,Mülk Sahibi,Kat Mülkiyeti,900 TL,Evet,"Güney, Batı",Evet (Site Adı Belirtilmemiş),,,9.430.000 TL,,,,,
5693,Ankara,Çankaya,Bağcılar,134058-43,01-03-2023,3 + 1,130 m2,Yüksek Giriş,6 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Belirtilmemiş,Kat Mülkiyeti,100 TL,Hayır,"Güney, Doğu",,5.000 TL,Doğalgaz,1.800.000 TL,Evet,,,,
5694,Ankara,Sincan,29 Ekim,69791-481,28-02-2023,4 + 1,175 m2,2. Kat,Sıfır Bina,Kombi,4 Katlı,Uygun değil,Eşyalı Değil,2,,,Boş,Kat Mülkiyeti,,Hayır,,,,,1.800.000 TL,,,,,
5695,Ankara,Mamak,Kıbrısköy,122845-1838,08-04-2023,3 + 1,130 m2,2. Kat,12 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,Kat Mülkiyeti,,Hayır,"Güney, Doğu",,,Doğalgaz,1.550.000 TL,Evet,,,,
5696,Ankara,Çankaya,Kocatepe,121395-173,24-02-2023,3 + 1,145 m2,5. Kat,35 Yaşında,Kombi,6 Katlı,Uygun,,1,,İkinci El,,Kat Mülkiyeti,,Hayır,,,7.500 TL,Doğalgaz,2.400.000 TL,Evet,,,,
5697,Ankara,Polatlı,Gazi,131871-282,13-04-2023,3 + 1,135 m2,Ara Kat,23 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,,,,,,Doğalgaz,1.200.000 TL,,,,,
5698,Ankara,Sincan,Plevne,72714-360,22-03-2023,3 + 1,130 m2,3. Kat,21 Yaşında,Kombi,4 Katlı,Uygun,,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,Hayır,"Güney, Doğu",,,,1.139.000 TL,,,,,
5699,Ankara,Sincan,Pınarbaşı,123987-346,22-02-2023,3 + 1,120 m2,3. Kat,13 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Mülk Sahibi,Kat Mülkiyeti,,Evet,"Kuzey, Doğu",,5.500 TL,Doğalgaz,1.300.000 TL,Evet,,,,
