,District,Neighborhood,Num_Of_Room,Area,Floor,Age,Heat_type,Apt_Floor,Credit_Eli,Items,Num_of_Bath,Usage,Price
159,Mamak,Türközü,4,115.0,interstage,5.0,Kombi,3.0,1.0,0,1.0,Kiracılı,1300000.0
160,Keçiören,Kanuni,4,130.0,interstage,5.0,Kombi,3.0,1.0,0,1.0,Mülk Sahibi,1539000.0
161,Çankaya,Naci Çakır,4,100.0,interstage,28.0,Kombi,3.0,1.0,0,1.0,Kiracılı,1590000.0
162,Çankaya,Mürsel Uluç,4,105.0,interstage,15.0,Kombi,3.0,1.0,1,1.0,Boş,1400000.0
163,Çankaya,Akpınar,4,155.0,interstage,13.0,Kombi,4.0,1.0,1,1.0,Mülk Sahibi,1849000.0
164,Çankaya,Sokullu Mehmet Paşa,4,110.0,interstage,25.0,Kombi,3.0,1.0,0,1.0,Kiracılı,1375000.0
165,Keçiören,Karakaya,5,160.0,interstage,0.0,Kombi,15.0,1.0,0,1.0,Boş,2549000.0
166,Keçiören,Hisar,5,165.0,interstage,0.0,Kombi,3.0,1.0,0,2.0,Boş,2499999.0
167,Keçiören,Yükseltepe,5,220.0,interstage,5.0,Merkezi (Pay Ölçer),18.0,1.0,0,2.0,Boş,3600000.0
168,Pursaklar,Mimar Sinan,4,125.0,interstage,0.0,Kombi,4.0,1.0,0,2.0,Boş,1850000.0
169,Çankaya,Akpınar,4,140.0,interstage,25.0,Merkezi,6.0,1.0,0,1.0,Boş,2625000.0
170,Çankaya,Şehit Cevdet Özdemir,3,100.0,interstage,30.0,Kombi,3.0,1.0,0,1.0,Kiracılı,875000.0
171,Çankaya,Sokullu Mehmet Paşa,4,130.0,interstage,25.0,Kombi,3.0,1.0,0,1.0,Boş,2150000.0
172,Çankaya,Naci Çakır,4,130.0,interstage,29.0,Kombi,2.0,1.0,0,1.0,Boş,2560000.0
173,Çankaya,Mürsel Uluç,5,225.0,interstage,18.0,Kombi,3.0,1.0,0,2.0,Mülk Sahibi,2250000.0
174,Çankaya,Harbiye,4,110.0,interstage,25.0,Kombi,3.0,1.0,0,1.0,Boş,1495000.0
175,Keçiören,Atapark,4,168.0,interstage,1.0,Merkezi (Pay Ölçer),21.0,1.0,0,2.0,Boş,3089000.0
176,Keçiören,Etlik,4,135.0,interstage,16.0,Merkezi,3.0,1.0,0,1.0,Boş,2075000.0
177,Yenimahalle,İlkyerleşim,4,155.0,interstage,17.0,Kombi,5.0,1.0,0,2.0,Mülk Sahibi,2930000.0
178,Altındağ,Baraj,5,175.0,interstage,3.0,Merkezi (Pay Ölçer),6.0,1.0,0,2.0,Kiracılı,3050000.0
179,Çankaya,Bayraktar,4,175.0,interstage,16.0,Kombi,6.0,1.0,0,1.0,Kiracılı,1700000.0
180,Pursaklar,Merkez,5,185.0,interstage,10.0,Kombi,8.0,1.0,0,2.0,Kiracılı,3000000.0
181,Pursaklar,Merkez,5,185.0,interstage,10.0,Kombi,8.0,1.0,0,2.0,Kiracılı,3100000.0
182,Sincan,Akşemsettin,4,125.0,interstage,21.0,Kombi,4.0,1.0,0,1.0,Mülk Sahibi,1259000.0
183,Çankaya,Mürsel Uluç,4,130.0,interstage,17.0,Kombi,3.0,1.0,0,1.0,Kiracılı,1875000.0
184,Etimesgut,Turkuaz,5,189.0,interstage,0.0,Merkezi (Pay Ölçer),16.0,1.0,0,2.0,Boş,4600000.0
185,Çankaya,Birlik,6,300.0,interstage,22.0,Kombi,3.0,1.0,0,3.0,Kiracılı,3600000.0
186,Çankaya,Keklik Pınarı,5,180.0,interstage,4.0,Kombi,4.0,1.0,0,2.0,Boş,2550000.0
187,Keçiören,Karakaya,3,100.0,interstage,6.0,Kombi,4.0,1.0,0,1.0,Mülk Sahibi,1079000.0
188,Çankaya,Cevizlidere,4,150.0,interstage,17.0,Kombi,4.0,1.0,0,2.0,Boş,3000000.0
189,Çankaya,Ata,4,150.0,interstage,15.0,Kombi,4.0,1.0,0,1.0,Mülk Sahibi,3000000.0
190,Pursaklar,Merkez,4,130.0,interstage,18.0,Kombi,3.0,1.0,0,1.0,Boş,1519000.0
191,Keçiören,Sancaktepe,5,180.0,interstage,0.0,Merkezi (Pay Ölçer),26.0,1.0,0,2.0,Boş,5250000.0
192,Keçiören,Esertepe,6,235.0,interstage,0.0,Merkezi (Pay Ölçer),16.0,1.0,0,2.0,Boş,5300000.0
193,Keçiören,Ovacık,5,200.0,interstage,0.0,Merkezi (Pay Ölçer),21.0,1.0,0,4.0,Boş,5490000.0
194,Keçiören,Ovacık,5,190.0,interstage,0.0,Kombi,19.0,1.0,0,2.0,Boş,3575000.0
195,Çankaya,Naci Çakır,4,120.0,interstage,25.0,Merkezi,4.0,1.0,0,1.0,Mülk Sahibi,2175000.0
196,Etimesgut,Bağlıca,3,102.0,interstage,2.0,Merkezi (Pay Ölçer),14.0,1.0,0,2.0,Kiracılı,3050000.0
197,Etimesgut,Bağlıca,4,178.0,interstage,4.0,Merkezi (Pay Ölçer),12.0,1.0,0,2.0,Kiracılı,4849000.0
198,Etimesgut,Bağlıca,4,130.0,interstage,1.0,Kombi,3.0,1.0,0,1.0,Boş,1743000.0
199,Pursaklar,Mimar Sinan,5,185.0,interstage,1.0,Kombi,13.0,1.0,0,2.0,Boş,2850000.0
200,Pursaklar,Fatih,5,200.0,interstage,4.0,Merkezi,16.0,1.0,0,2.0,Mülk Sahibi,3600000.0
201,Etimesgut,Topçu,4,110.0,interstage,15.0,Kombi,5.0,1.0,0,1.0,Boş,1000000.0
202,Keçiören,İncirli,4,120.0,interstage,22.0,Kombi,4.0,1.0,0,1.0,Boş,1375000.0
203,Keçiören,Sancaktepe,5,180.0,interstage,6.0,Kombi,5.0,1.0,0,2.0,Mülk Sahibi,3095000.0
204,Gölbaşı,İncek,4,110.0,interstage,0.0,Kombi,4.0,1.0,0,2.0,Boş,2900000.0
205,Keçiören,Yükseltepe,4,140.0,interstage,4.0,Kombi,4.0,1.0,0,1.0,Boş,1849000.0
206,Çankaya,Metin Akkuş,4,110.0,interstage,22.0,Kombi,2.0,1.0,0,1.0,Boş,1235000.0
207,Çankaya,Seyranbağları,4,110.0,interstage,25.0,Kombi,4.0,1.0,0,1.0,Boş,2150000.0
208,Mamak,Fahri Korutürk,4,170.0,interstage,5.0,Kombi,11.0,1.0,0,2.0,Boş,2350000.0
209,Pursaklar,Merkez,4,150.0,interstage,8.0,Merkezi (Pay Ölçer),8.0,1.0,0,2.0,Boş,2295000.0
210,Mamak,Başak,5,140.0,interstage,7.0,Kombi,3.0,1.0,0,2.0,Mülk Sahibi,1385000.0
211,Pursaklar,Merkez,5,185.0,interstage,0.0,Merkezi (Pay Ölçer),16.0,1.0,0,2.0,Boş,3000000.0
212,Çankaya,Osman Temiz,4,135.0,interstage,16.0,Kombi,3.0,1.0,0,2.0,Boş,2490000.0
213,Etimesgut,Ahi Mesut,5,175.0,interstage,4.0,Merkezi (Pay Ölçer),10.0,1.0,0,2.0,Mülk Sahibi,3350000.0
214,Etimesgut,Bağlıca,8,210.0,interstage,5.0,Merkezi (Pay Ölçer),8.0,1.0,0,2.0,Boş,4250000.0
215,Mamak,Mutlu,4,130.0,interstage,11.0,Kombi,3.0,1.0,0,2.0,Mülk Sahibi,1730000.0
216,Çankaya,Şehit Cevdet Özdemir,3,100.0,interstage,28.0,Kombi,2.0,1.0,0,1.0,Kiracılı,875000.0
217,Altındağ,Hacettepe,4,120.0,interstage,30.0,Kombi,4.0,1.0,0,1.0,Kiracılı,1550000.0
218,Sincan,29 Ekim,5,160.0,interstage,0.0,Kombi,12.0,1.0,0,2.0,Boş,2600000.0
219,Mamak,Abidinpaşa,4,110.0,interstage,27.0,Merkezi,4.0,1.0,0,1.0,Kiracılı,1450000.0
220,Çankaya,İlkadım,4,125.0,interstage,28.0,Kombi,5.0,1.0,0,2.0,Boş,2650000.0
